Company,StatEntityKey,SurplusUSD,GroupSurplusUSD,GroupToEntityRatio
Evanston Insurance Co.,C603,109210594,144412467,1.322
Privilege Underwriters Recpl,C6187,125418138,150251484,1.198
Homeowners Choice P&C Ins Co.,C6245,304968829,576987926,1.892
Olympus Insurance Co.,C6248,77453012,78608169,1.015
Covington Specialty Ins Co.,C6404,153634432,204925068,1.334
Cincinnati Spclty Underwriters,C6408,59978096,72503342,1.209
People's Trust Insurance Co.,C6513,57129377,78647384,1.377
ASI Preferred Insurance Corp.,C6525,107046724,136447322,1.275
Federal Insurance Co.,C674,402221030,660447381,1.642
Kinsale Insurance Co.,C681,51418732,56507018,1.099
Castle Key Insurance Co.,C714,1235257076,2483979293,2.011
Stillwater P&C Insurance Co.,C717,164876575,175453456,1.064
First Liberty Insurance Corp.,C725,66242764,74419867,1.123
American Modern P&C Ins Co.,C726,53068818,64485884,1.215
American Platinum P&C Ins Co.,C7302,80609700,96079374,1.192
Florida Farm Bureau Cas Ins Co,C741,50329587,63316381,1.258
FL Farm Bureau General Ins Co.,C742,126805598,135679650,1.07
Florida Family Home Ins Co.,C7460,96973143,103980739,1.072
Foremost Ins Co. Grand Rapids,C752,316176553,602866990,1.907
Foremost P&C Insurance Co.,C754,374379109,554264240,1.48
Heritage P&C Insurance Co.,C8002,78646882,102504658,1.303
American Bankers Ins Co. of FL,C82,61821128,70807968,1.145
Safepoint Insurance Co.,C8520,176725942,255300616,1.445
Monarch National Insurance Co.,C8792,121021592,131918281,1.09
Hartford Ins Co. of the MW,C888,65650664,82782711,1.261
TypTap Insurance Co.,C8884,82351445,104576570,1.27
US Coastal P&C Insurance Co.,C8911,141377665,183910331,1.301
Dover Bay Specialty Ins Co.,C8913,62673010,81196419,1.296
Lemonade Insurance Co.,C8979,103173005,129393347,1.254
Vault Reciprocal Exchange,C9125,86087027,102086023,1.186
Vault E&S Insurance Co.,C9151,68488802,84190513,1.229
KW Specialty Insurance Co.,C9175,295264554,634495623,2.149
Kin Interinsurance Network,C9365,239527637,366388296,1.53
Sutton Specialty Insurance Co.,C9661,95655358,106231631,1.111
Trusted Resource Underwriters,C9699,187955834,230060434,1.224
Accredited Specialty Ins Co.,C9700,63505125,79697838,1.255
SureChoice Underwriters Recpl,C9757,323230229,693531456,2.146
Spinnaker Specialty Ins Co.,C9779,76381237,99759047,1.306
Vyrd Insurance Co.,C9805,71177456,96894962,1.361
Tower Hill Insurance Exchange,C9817,45899560,60703159,1.323
PURE Specialty Exchange,C9832,325903772,507221108,1.556
Slide Insurance Co.,C9834,46090490,48384376,1.05
Loggerhead Recpl Interinsuranc,C9910,147346088,265710996,1.803
Victor Insurance Exchange,C9979,141289161,166649597,1.179
Beazley Excess & Surplus Ins I,C9994,939177838,2018118153,2.149
