iteration,scenario,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd
10,great_miami,170354720952.1598,134301182743.9878,36053538208.172005,53123664515.45148,58725092462.02701,0.0,18989687310.265213,3462738456.244096,53123664515.45148,58725092462.02701,10639182872.56445,25414355335.60755,11.147144736656891,2.0326636308579475,31.184145774492528,34.47224246783193,6.245311437862775,14.91849195229793,18989687310.265213,3462738456.244096,10639182872.56445,32,32,0,0.0,0,32.68889744550855,127685330.57260114,0.0,0,1.0,177997104.88458657,580285320.0,2377625542.9119406,539937478.65,359958319.1,539937478.65,359958319.1,7198182872.564449,10639182872.56445,3441000000.0,1395853723.0,1395853723.0,0.0,False,2074260900.6824727,2074260900.6824727,0.0,1.0,2074260900.6824727,0.0,1140000000.0,0.0,8,9464500000.0,9464500000.0
11,great_miami,170354720952.1598,72939444933.27982,97415276018.87999,7714849761.897645,42381886779.00403,0.0,18224327429.622192,4618380962.755938,7714849761.897645,42381886779.00403,28569647255.98392,68845628762.89607,10.697870495024366,2.711037849108334,4.528697366751687,24.87861008026071,16.77068125632224,40.41310295253267,18224327429.622192,4618380962.755938,28569647255.98392,23,23,0,0.0,0,26.754791759834003,117033463.04775697,0.0,0,1.0,0.0,522606437.6978725,2601536868.2456107,539937478.65,359958319.1,539937478.65,359958319.1,25128647255.98392,28569647255.98392,3441000000.0,1395853723.0,1395853723.0,0.0,False,2971826891.2089562,2971826891.2089562,0.0,1.0,2058093848.519512,913733042.6894443,1140000000.0000002,0.0,8,9464500000.0,9464500000.0
12,great_miami,170354720952.15982,115396731279.06247,54957989673.09734,26698748291.85028,43402351980.53089,0.0,35789554159.270294,9506076847.410995,26698748291.85028,43402351980.53089,16163237532.254585,38794752140.84276,21.00884199700046,5.580166369490023,15.672444028920108,25.477633808997542,9.487989203888079,22.77292459170378,35789554159.270294,9506076847.410995,16163237532.254585,93,93,0,0.0,0,83.66361408324455,1546612359.1903057,0.0,0,1.0,12260058160.972422,17356140.0,4592783637.931462,539937478.65,359958319.1,539937478.65,359958319.1,12722237532.254585,16163237532.254585,3441000000.0,1395853723.0,1395853723.0,0.0,False,8144449193.759279,8144449193.759279,0.0,1.0,4297075752.512805,3847373441.2464743,1269321074.9011283,0.0,11,9464500000.0,9464500000.0
13,great_miami,170354720952.1598,141190270443.6247,29164450508.535095,26624908425.70344,48840906921.55205,0.0,50619746121.897354,15104708974.471867,26624908425.70344,48840906921.55205,8626128059.58559,20538322448.949512,29.71431953219115,8.866621887581076,15.629099256474632,28.670122347397637,5.063627242832936,12.056209733522577,50619746121.897354,15104708974.471867,8626128059.58559,99,99,0,0.0,0,85.23525817251503,3351324895.9732857,0.0,0,1.0,24866971747.224663,941278680.0,8716597069.141933,539937478.65,359958319.1,539937478.65,359958319.1,5185128059.58559,8626128059.58559,3441000000.0,1395853723.0,1395853723.0,0.0,False,10638341602.398771,10638341602.398771,0.0,1.0,5344250155.773979,5294091446.624792,1466613097.853852,0.0,13,9464500000.0,9464500000.0
14,great_miami,170354720952.15982,91651138204.5737,78703582747.58612,12780336090.370535,32583099337.983578,0.0,37941241074.01421,8346461702.205367,12780336090.370535,32583099337.983578,23101918314.059193,55601664433.52692,22.27190468332787,4.8994601708450904,7.50219073409747,19.12661953591165,13.561067274764186,32.63875760105372,37941241074.01421,8346461702.205367,23101918314.059193,97,97,0,0.0,0,84.7224713174098,1806113408.281208,0.0,0,1.0,14163049223.041216,5662860.0,4495423125.203714,539937478.65,359958319.1,539937478.65,359958319.1,19660918314.059193,23101918314.059193,3441000000.0,1395853723.0,1395853723.0,0.0,False,7183654802.678104,7183654802.678104,0.0,1.0,4387215296.019594,2796439506.65851,1371871275.225637,0.0,12,9464500000.0,9464500000.0
15,great_miami,170354720952.15985,117881096024.04422,52473624928.11562,14861266814.839476,60734717199.10186,0.0,34106199693.97268,8178912316.130191,14861266814.839476,60734717199.10186,15437283294.896849,37036341633.218765,20.02069534870748,4.801106931710479,8.723718797915154,35.65191317249012,9.061846486327815,21.740719262848934,34106199693.97268,8178912316.130191,15437283294.896849,93,93,0,0.0,0,81.8185409005122,1632692391.4378567,0.0,0,1.0,11442503811.027847,37731840.0,3020393907.9621673,539937478.65,359958319.1,539937478.65,359958319.1,11996283294.896849,15437283294.896849,3441000000.0,1395853723.0,1395853723.0,0.0,False,7483989487.199215,7483989487.199215,0.0,1.0,3352123729.1026483,4131865758.096566,1257182086.4244308,0.0,11,9464500000.0,9464500000.0
16,great_miami,170354720952.15982,144866732797.40918,25487988154.750637,29005843894.239697,55933104022.77636,0.0,46038710640.68221,13889074239.710922,29005843894.239697,55933104022.77636,7551831932.333287,17936156222.417347,27.02520387069937,8.153031604924731,17.026733237633792,32.833316100751844,4.433004198606297,10.528710987383967,46038710640.68221,13889074239.710922,7551831932.333287,99,99,0,0.0,0,85.23525817251503,2655576200.2484493,0.0,0,1.0,20773600557.549774,941278680.0,4907725324.560846,539937478.65,359958319.1,539937478.65,359958319.1,4110831932.3332872,7551831932.333287,3441000000.0,1395853723.0,1395853723.0,0.0,False,12797415155.221107,12797415155.221107,0.0,1.0,4853456742.166504,7943958413.054603,1413112263.311408,0.0,12,9464500000.0,9464500000.0
17,great_miami,170354720952.15982,145640748182.68356,24713972769.476265,34568018430.46896,65259257493.87698,0.0,37254262083.49488,8559210174.842712,34568018430.46896,65259257493.87698,7325657514.967635,17388315254.508633,21.86864084263146,5.02434574574917,20.291787769225717,38.3078655696331,4.3002374539563695,10.20712261880417,37254262083.49488,8559210174.842712,7325657514.967635,96,96,0,0.0,0,84.304590860679,1329610523.5259109,0.0,0,1.0,13430437470.259647,10277640.0,4876233515.337699,539937478.65,359958319.1,539937478.65,359958319.1,3884657514.967635,7325657514.967635,3441000000.0,1395853723.0,1395853723.0,0.0,False,7125512543.095028,7125512543.095028,0.0,1.0,4509887069.849119,2615625473.2459083,1296367249.5462651,0.0,11,9464500000.0,9464500000.0
18,great_miami,170354720952.1598,105024777429.31725,65329943522.84256,11444995157.226345,44374881082.77732,0.0,38690345133.60379,10514556055.709808,11444995157.226345,44374881082.77732,19194017880.474667,46135925642.36789,22.71163658826284,6.172154195047274,6.718331663048192,26.048518546920096,11.267088914938181,27.08227009178343,38690345133.60379,10514556055.709808,19194017880.474667,98,98,0,0.0,0,84.80863576507527,2094466845.356184,0.0,0,1.0,15085840447.921076,4711320.0,4930518599.471652,539937478.65,359958319.1,539937478.65,359958319.1,15753017880.474667,19194017880.474667,3441000000.0,1395853723.0,1395853723.0,0.0,False,8784633573.801836,8784633573.801836,0.0,1.0,4262076162.7207627,4522557411.081073,1319644408.6548831,0.0,11,9464500000.0,9464500000.0
19,great_miami,170354720952.15982,150759038836.37552,19595682115.784306,31482331761.71061,52740980292.68106,0.0,54156846645.484566,12378880136.499283,31482331761.71061,52740980292.68106,5830045892.084337,13765636223.699974,31.79063447304948,7.266531897273105,18.48045747470168,30.959506139834037,3.422297814524066,8.080572200617636,54156846645.484566,12378880136.499283,5830045892.084337,99,99,0,0.0,0,85.23525817251503,4410993428.911794,0.0,0,1.0,27869889852.458176,941278680.0,5308789978.703281,539937478.65,359958319.1,539937478.65,359958319.1,2389045892.084337,5830045892.084337,3441000000.0,1395853723.0,1395853723.0,0.0,False,11669147378.139961,11669147378.139961,0.0,1.0,5624797160.123016,6044350218.016946,1651967992.9324179,0.0,13,9464500000.0,9464500000.0
20,great_miami,170354720952.15982,151026343414.9998,19328377537.16003,48006160817.32728,55259369520.07218,0.0,38954501248.91095,8806311828.68936,48006160817.32728,55259369520.07218,5751937034.715711,13576440502.444315,22.866698986199754,5.169396996730375,28.180117668009153,32.43782691269853,3.37644709965567,7.9695123367065035,38954501248.91095,8806311828.68936,5751937034.715711,97,97,0,0.0,0,84.71440307825328,2167263370.979499,0.0,0,1.0,15046591275.047745,5751960.0,4659399952.884647,539937478.65,359958319.1,539937478.65,359958319.1,2310937034.7157106,5751937034.715711,3441000000.0,1395853723.0,1395853723.0,0.0,False,7646110271.402333,7646110271.402333,0.0,1.0,4554371029.106876,3091739242.295457,1327194850.3579812,0.0,11,9464500000.0,9464500000.0
21,great_miami,170354720952.15985,121752265665.05548,48602455287.10436,25847515324.082222,53000340758.08726,0.0,34483073192.43727,8421336390.448701,25847515324.082222,53000340758.08726,14306091906.796782,34296363380.30757,20.24192402752433,4.943412394666559,15.172761388480039,31.111753441204115,8.397825329897557,20.132323418227376,34483073192.43727,8421336390.448701,14306091906.796782,95,95,0,0.0,0,84.13435373105533,1245822686.0067725,0.0,0,1.0,11007819683.261442,12157620.0,4443617589.374767,539937478.65,359958319.1,539937478.65,359958319.1,10865091906.796782,14306091906.796782,3441000000.0,1395853723.0,1395853723.0,0.0,False,7150820940.212145,7150820940.212145,0.0,1.0,4241025247.9668927,2909795692.2452526,1292878321.213107,0.0,11,9464500000.0,9464500000.0
22,great_miami,170354720952.1598,103098541255.98134,67256179696.17846,12534406101.967062,41001689052.96836,0.0,38114634454.72298,11447811646.32295,12534406101.967062,41001689052.96836,19756881813.80392,47499297882.374535,22.373688408333926,6.719984971556969,7.357827262965645,24.068419603400805,11.597495921085855,27.882583832656817,38114634454.72298,11447811646.32295,19756881813.80392,96,96,0,0.0,0,84.29584890997002,2247279656.2631683,0.0,0,1.0,14222580952.77591,10374180.0,4567688623.723359,539937478.65,359958319.1,539937478.65,359958319.1,16315881813.80392,19756881813.80392,3441000000.0,1395853723.0,1395853723.0,0.0,False,10373963556.911339,10373963556.911339,0.0,1.0,4550164268.856923,5823799288.054416,1352196770.4813387,0.0,12,9464500000.0,9464500000.0
23,great_miami,170354720952.15976,139180269928.40005,31174451023.759712,24688038286.79834,61451158810.23032,0.0,43369427473.84316,9671645357.52827,24688038286.79834,61451158810.23032,9213468704.338327,21960982319.421383,25.458306779782454,5.67735681375354,14.492136260627268,36.07247187912537,5.408402334165849,12.891325932545552,43369427473.84316,9671645357.52827,9213468704.338327,98,98,0,0.0,0,84.80863576507527,3204025853.27285,0.0,0,1.0,19171883300.69377,4711320.0,5120129982.498394,539937478.65,359958319.1,539937478.65,359958319.1,5772468704.338327,9213468704.338327,3441000000.0,1395853723.0,1395853723.0,0.0,False,8308307764.727533,8308307764.727533,0.0,1.0,4807041358.023596,3501266406.703938,1348063986.2023444,0.0,12,9464500000.0,9464500000.0
24,great_miami,170354720952.15982,108398327199.41904,61956393752.740776,19358936677.617615,53621018803.27837,0.0,28424952641.797882,6993419076.725163,19358936677.617615,53621018803.27837,18208235597.301666,43748158155.43912,16.68574400693032,4.10521002155796,11.363897970901625,31.476097934695098,10.688424421425355,25.68062564448964,28424952641.797882,6993419076.725163,18208235597.301666,81,81,0,0.0,0,76.42993511234113,518624739.1448896,0.0,0,1.0,5979822966.537031,97239840.0,4617996663.353418,539937478.65,359958319.1,539937478.65,359958319.1,14767235597.301666,18208235597.301666,3441000000.0,1395853723.0,1395853723.0,0.0,False,4836361769.582761,4836361769.582761,0.0,1.0,3564771840.304729,1271589929.2780318,1211806056.6819575,0.0,10,9464500000.0,9464500000.0
25,great_miami,170354720952.15985,135890095513.06764,34464625439.09219,20633568236.17684,49030516389.43794,0.0,52793409623.32235,13432601264.130484,20633568236.17684,49030516389.43794,10174887941.703243,24289737497.38894,30.990282704374334,7.885077201883191,12.11212000515753,28.781425084900945,5.972765465396537,14.258329538287434,52793409623.32235,13432601264.130484,10174887941.703243,99,99,0,0.0,0,85.23525817251503,3565861699.061529,0.0,0,1.0,26688060432.196457,941278680.0,5209526893.745198,539937478.65,359958319.1,539937478.65,359958319.1,6733887941.703243,10174887941.703243,3441000000.0,1395853723.0,1395853723.0,0.0,False,12765938844.89333,12765938844.89333,0.0,1.0,5569918217.13003,7196020627.7633,1526553136.867851,0.0,13,9464500000.0,9464500000.0
26,great_miami,170354720952.15982,130211157146.91243,40143563805.24739,28910164395.820248,50805970513.8603,0.0,43977558512.821304,6517463724.410563,28910164395.820248,50805970513.8603,11834325984.740728,28309237820.506668,25.81528604961372,3.8258192599433993,16.970568373000358,29.823635194781588,6.94687292409356,16.617818198567367,43977558512.821304,6517463724.410563,11834325984.740728,98,98,0,0.0,0,84.87175275785725,2222642549.6346397,0.0,0,1.0,19376248704.262432,4014300.0,4852221406.096457,539937478.65,359958319.1,539937478.65,359958319.1,8393325984.740728,11834325984.740728,3441000000.0,1395853723.0,1395853723.0,0.0,False,5665011309.8410425,5665011309.8410425,0.0,1.0,5043007408.980451,622003900.8605915,1507769187.1972964,0.0,12,9464500000.0,9464500000.0
27,great_miami,170354720952.1598,138465976246.60553,31888744705.554256,26451628555.15121,66819427294.66663,0.0,35007970022.40816,10186950374.37956,26451628555.15121,66819427294.66663,9422191890.442156,22466552815.112103,20.550043947557718,5.9798462393304215,15.527382163115716,39.223701533596675,5.530925023843725,13.18810109255576,35007970022.40816,10186950374.37956,9422191890.442156,96,96,0,0.0,0,84.51750001073049,1315366259.4631205,0.0,0,1.0,11760538383.76455,7926420.0,4672836392.931601,539937478.65,359958319.1,539937478.65,359958319.1,5981191890.442156,9422191890.442156,3441000000.0,1395853723.0,1395853723.0,0.0,False,8378954507.879116,8378954507.879116,0.0,1.0,3934760505.1013107,4444194002.777805,1287659088.0384707,0.0,11,9464500000.0,9464500000.0
28,great_miami,170354720952.15976,153379869012.5221,16974851939.63767,25850215004.71682,63661286420.00687,0.0,49538262636.9451,14330104950.853348,25850215004.71682,63661286420.00687,5064215200.108925,11910636739.528744,29.07947743394607,8.411921237496923,15.17434612920194,37.36983986365995,2.972747201723335,6.991668133971805,49538262636.9451,14330104950.853348,5064215200.108925,99,99,0,0.0,0,85.23525817251503,2409650662.6977053,0.0,0,1.0,24077279967.689693,941278680.0,8710614728.728958,539937478.65,359958319.1,539937478.65,359958319.1,1623215200.1089249,5064215200.108925,3441000000.0,1395853723.0,1395853723.0,0.0,False,9613450505.605686,9613450505.605686,0.0,1.0,5090893094.524612,4522557411.081073,1431090806.024102,0.0,13,9464500000.0,9464500000.0
29,great_miami,170354720952.15982,114141367201.53343,56213353750.62638,16274251525.268015,46785457607.34972,0.0,37795604725.52215,13286053343.39355,16274251525.268015,46785457607.34972,16530066466.431715,39683287284.194664,22.18641462606497,7.79905204219414,9.55315557696711,27.46355213747691,9.703321618585376,23.294503998711484,37795604725.52215,13286053343.39355,16530066466.431715,97,97,0,0.0,0,84.65128608547128,2347439550.9949846,0.0,0,1.0,14070159997.053772,6448980.0,4575000162.892569,539937478.65,359958319.1,539937478.65,359958319.1,13089066466.431715,16530066466.431715,3441000000.0,1395853723.0,1395853723.0,0.0,False,12040836622.522669,12040836622.522669,0.0,1.0,4386925812.300556,7653910810.222113,1305901178.962954,0.0,11,9464500000.0,9464500000.0
30,great_miami,170354720952.1598,66028497146.8855,104326223805.27429,15884119655.860174,30047581560.757725,0.0,16400539691.193253,3696256239.074358,15884119655.860174,30047581560.757725,30589089787.450005,73737134017.8243,9.627288049034442,2.1697410077131742,9.324144095966007,17.63824412544217,17.95611510880303,43.28446761304119,16400539691.193253,3696256239.074358,30589089787.450005,20,20,0,0.0,0,26.219364936671386,56585581.821444094,0.0,0,1.0,5.960464477539063e-08,264776432.26084483,2575323343.337361,539937478.65,359958319.1,539937478.65,359958319.1,27148089787.450005,30589089787.450005,3441000000.0,1395853723.0,1395853723.0,0.0,False,1869451573.6743748,1869451573.6743748,0.0,1.0,1869451573.6743748,0.0,1140000000.0,0.0,8,9464500000.0,9464500000.0
31,great_miami,170354720952.15982,141539173169.47046,28815547782.689373,37213467976.46949,40104790422.246216,0.0,49040139295.72596,15180775475.028784,37213467976.46949,40104790422.246216,8524175472.806614,20291372309.882748,28.787073831371977,8.911273717675222,21.844694275845768,23.541930741977335,5.0037800098304475,11.91124742329924,49040139295.72596,15180775475.028784,8524175472.806614,99,99,0,0.0,0,85.23525817251503,2405434202.531187,0.0,0,1.0,23462182271.93524,941278680.0,9545304989.219875,539937478.65,359958319.1,539937478.65,359958319.1,5083175472.806614,8524175472.806614,3441000000.0,1395853723.0,1395853723.0,0.0,False,9683283577.056787,9683283577.056787,0.0,1.0,5160726165.975715,4522557411.081073,1494212352.7928338,0.0,12,9464500000.0,9464500000.0
32,great_miami,170354720952.1598,113314423554.1891,57040297397.97068,23421738035.470856,41286343928.221596,0.0,37742019163.27779,10864322427.218878,23421738035.470856,41286343928.221596,16771707008.97213,40268590388.99856,22.15495934150059,6.377470707295439,13.748804790709798,24.23551498746895,9.845167140206275,23.638083032818955,37742019163.27779,10864322427.218878,16771707008.97213,98,98,0,0.0,0,84.87175275785725,1552610882.0884724,0.0,0,1.0,13974842348.977938,4014300.0,4841085096.631308,539937478.65,359958319.1,539937478.65,359958319.1,13330707008.97213,16771707008.97213,3441000000.0,1395853723.0,1395853723.0,0.0,False,9440385020.812122,9440385020.812122,0.0,1.0,4481390486.412351,4958994534.399771,1269036133.058374,0.0,11,9464500000.0,9464500000.0
33,great_miami,170354720952.1598,141137749403.03568,29216971549.12413,11400789715.085642,55236197613.3004,0.0,58612347911.15729,15888414163.49236,11400789715.085642,55236197613.3004,8641475190.896748,20575496358.227383,34.40606023922121,9.326665016788267,6.692382606929509,32.42422476146829,5.072636169163465,12.078031206429282,58612347911.15729,15888414163.49236,8641475190.896748,99,99,0,0.0,0,85.23525817251503,3749282544.372217,0.0,0,1.0,31753556738.728046,941278680.0,6381382524.267614,539937478.65,359958319.1,539937478.65,359958319.1,5200475190.896748,8641475190.896748,3441000000.0,1395853723.0,1395853723.0,0.0,False,14669624769.38861,14669624769.38861,0.0,1.0,6197600261.045788,8472024508.342823,1660266462.5153701,0.0,13,9464500000.0,9464500000.0
